Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
176.0,Wichita State U.,59940.0,,7728.0,,8547.0,,12238.0,,31257.0,,157.0,,13.0,,,0
177.0,U. Akron,58512.0,,14676.0,,3739.0,,29908.0,,5284.0,,3106.0,,1799.0,,,0
178.0,South Dakota State U.,58373.0,,28670.0,,15908.0,,5473.0,,1175.0,,5354.0,,1793.0,,,0
179.0,Colorado School of Mines,58349.0,,34266.0,,1220.0,,2929.0,,16570.0,,2173.0,,1191.0,,,0
180.0,American U.,58325.0,,9449.0,,58.0,,39325.0,,721.0,,8437.0,,335.0,,,0
181.0,"U. Alabama, Tuscaloosa",58234.0,,28988.0,,7220.0,,18828.0,,2252.0,,375.0,,571.0,,,0
182.0,Cleveland State U.,57662.0,,41851.0,,1416.0,,5805.0,,4069.0,,4318.0,,203.0,,,0
183.0,"Southern Illinois U., Carbondale",57509.0,,14895.0,,4929.0,,29371.0,,6807.0,,1507.0,,0.0,,,0
184.0,U. Wyoming,56996.0,,48970.0,,3362.0,,1803.0,,1993.0,,631.0,,237.0,,,0
185.0,"Indiana U.-Purdue U., Indianapolis",55973.0,,18479.0,,944.0,,27587.0,,2743.0,,5791.0,,429.0,,,0
186.0,"U. Texas, San Antonio",54949.0,,23511.0,,16467.0,,9341.0,,941.0,,1038.0,,3651.0,,,0
187.0,Wright State U.,54289.0,,26931.0,,9376.0,,14343.0,,1983.0,,1628.0,,28.0,,,0
188.0,Portland State U.,53872.0,,29987.0,,9781.0,,8923.0,,624.0,,4287.0,,270.0,,,0
189.0,"CUNY, City C.",53223.0,,38434.0,,2833.0,,9306.0,,1683.0,,33.0,,934.0,,,0
190.0,U. Toledo,52354.0,,27085.0,,4547.0,,16519.0,,3453.0,,744.0,,6.0,,,0
191.0,"U. Maryland, Center for Environmental Science",52235.0,,14096.0,,3968.0,,30242.0,,1525.0,,2311.0,,93.0,,,0
192.0,U. Southern Mississippi,51840.0,,25005.0,,11538.0,,9492.0,,2862.0,,2915.0,,28.0,,,0
193.0,"Loyola U., Chicago",48664.0,,28200.0,,315.0,,11115.0,,2893.0,,4519.0,,1622.0,,,0
194.0,"U. California, Office of the President",48341.0,,181.0,,14374.0,,28766.0,,0.0,,4856.0,,164.0,,,0
195.0,Boston C.,47761.0,,23352.0,,1664.0,,12581.0,,303.0,,9861.0,,0.0,,,0
196.0,Texas State U.,47694.0,,18289.0,,7145.0,,16827.0,,1843.0,,3590.0,,0.0,,,0
197.0,Howard U.,47322.0,,38820.0,,1318.0,,4839.0,,1018.0,,1287.0,,40.0,,,0
198.0,"Louisiana State U., Health Sciences Center – New Orleans",46840.0,,36027.0,,934.0,,4598.0,,2307.0,,2693.0,,281.0,,,0
199.0,U. Memphis,46675.0,,18825.0,,3784.0,,18354.0,,2835.0,,2262.0,,615.0,,,0
200.0,Florida A&M U.,46522.0,,36975.0,,1079.0,,7955.0,,474.0,,39.0,,0.0,,,0
201.0,"U. North Texas, Health Science Center",46335.0,,22422.0,,11055.0,,9002.0,,2375.0,,1479.0,,2.0,,,0
202.0,San Jose State U.,45037.0,,33782.0,,5974.0,,3680.0,,607.0,,674.0,,320.0,,,0
203.0,Saint Louis U.,44457.0,,27580.0,,313.0,,8207.0,,3011.0,,5036.0,,310.0,,,0
204.0,U. South Alabama,43722.0,,15106.0,,1031.0,,25489.0,,1711.0,,385.0,,0.0,,,0
205.0,"U. North Texas, Denton",43628.0,,15470.0,,953.0,,23143.0,,2086.0,,1609.0,,367.0,,,0
206.0,"U. Puerto Rico, Medical Sciences Campus",43316.0,,31889.0,,3119.0,,5925.0,,2383.0,,0.0,,0.0,,,0
207.0,Eastern Virginia Medical School,42296.0,,28637.0,,787.0,,5573.0,,1796.0,,5345.0,,158.0,,,0
208.0,"U. Nevada, Las Vegas",42000.0,,27493.0,,2930.0,,7662.0,,781.0,,244.0,,2890.0,,,0
209.0,Van Andel Institute,40502.0,,8138.0,,3039.0,,25177.0,,4148.0,,0.0,,0.0,,,0
210.0,Rochester Institute of Technology,40442.0,,20147.0,,5404.0,,11479.0,,2388.0,,1024.0,,0.0,,,0
211.0,"Texas Tech U., Health Sciences Center",40438.0,,10251.0,,15640.0,,9303.0,,235.0,,2976.0,,2033.0,,,0
212.0,"Brigham Young U., Provo",39126.0,,24250.0,,1561.0,,6949.0,,4468.0,,1826.0,,72.0,,,0
213.0,U.S. Air Force Academy,38326.0,,30637.0,,39.0,,5898.0,,510.0,,75.0,,1167.0,,,0
214.0,Kent State U.,38069.0,,11158.0,,1737.0,,22947.0,,752.0,,1217.0,,258.0,,,0
215.0,Lehigh U.,36788.0,,22910.0,,2351.0,,9046.0,,1533.0,,652.0,,296.0,,,0
216.0,"CUNY, Hunter C.",36368.0,,19193.0,,1450.0,,12457.0,,212.0,,2522.0,,534.0,,,0
217.0,Worcester Polytechnic Institute,36130.0,,26327.0,,16.0,,6626.0,,2369.0,,406.0,,386.0,,,0
218.0,Missouri U. of Science and Technology,35842.0,,17632.0,,161.0,,10748.0,,5171.0,,1164.0,,966.0,,,0
219.0,Northern Arizona U.,35206.0,,20285.0,,4787.0,,8438.0,,623.0,,981.0,,92.0,,,0
