Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
257.0,Black Hills State U.,232,,251,,127,,315,,182,,221,,125,,96,
258.0,U.S. Military Academy,1090,,1032,,113,,309,,1090,,1032,,113,,309,
259.0,Grambling State U.,98,,212,,328,,307,,98,,149,,261,,219,
259.0,Occidental C.,319,,446,,428,,307,,319,,446,,428,,307,
261.0,Embry-Riddle Aeronautical U.,75,,140,,334,,306,,75,,130,,202,,289,
261.0,Texas A&M U.-Commerce,441,,365,,715,,306,,412,,339,,644,,169,
263.0,Carleton C.,372,,309,,186,,301,,146,,139,,48,,0,
264.0,St. Edward's U.,0,,110,,0,,300,,0,,110,,0,,300,
265.0,U. Louisville,471,,400,,413,,299,,281,,215,,184,,180,
266.0,Fayetteville State U.,17,,0,,298,,298,,17,,0,,298,,298,
267.0,"California State U., Long Beach",564,i,536,,358,,294,,531,i,506,,343,,271,
268.0,"Indiana U.-Purdue U., Indianapolis",200,,145,,157,,287,,142,,87,,97,,241,
269.0,East Carolina U.,1177,,964,,688,,285,,984,,698,,528,,274,
270.0,Miami U.,307,,322,i,330,,280,,240,,194,,188,,190,
271.0,Clarkson U.,319,,313,,316,,269,,122,,104,,56,,25,
272.0,"California State U., Los Angeles",638,,439,,312,,256,,638,,439,,312,,256,
273.0,"Loyola U., Chicago",43,,15,,1,,252,,0,,0,,0,,0,
273.0,Tennessee State U.,95,,146,,101,,252,,91,,138,,100,,229,
275.0,St. Cloud State U.,57,,224,,176,,249,,48,,185,,148,,235,
276.0,Georgia Southern U.,47,,157,,211,,246,,27,,39,,56,,56,
277.0,Swarthmore C.,288,,256,,247,,242,,215,,135,,179,,161,
278.0,C. Charleston,112,,147,,310,,238,,52,,104,,276,,215,
279.0,U. North Dakota,256,,257,,180,,228,,73,,79,,109,,168,
280.0,Lewis and Clark C.,41,,68,,255,,223,,24,,49,,39,,0,
280.0,Oberlin C.,429,,327,,212,,223,,413,,316,,207,,216,
282.0,Florida Atlantic U.,1164,,489,,301,,221,,258,,410,,267,,221,
283.0,Duquesne U.,244,,182,,141,,219,,93,,53,,48,,79,
284.0,U. San Diego,61,,131,,203,,218,,26,,119,,184,,196,
285.0,Southern Connecticut State U.,605,i,471,i,473,i,215,i,605,i,446,,376,,91,i
286.0,Seattle U.,154,,ne,,229,,212,,127,,ne,,229,,199,
286.0,South Carolina State U.,0,,105,i,158,i,212,i,0,,0,i,0,i,0,
288.0,U. Rhode Island,926,,408,,522,,202,,900,,345,,512,,159,
289.0,Bates C.,344,,260,,99,,198,,310,,202,,9,,70,
289.0,"U. Nebraska, Omaha",134,,236,,192,,198,,93,,231,,182,,195,
291.0,Azusa Pacific U.,56,i,ne,,ne,,196,,0,i,ne,,ne,,0,
292.0,"California State U., Bakersfield",11,,76,,92,,195,,0,,0,,0,,0,
293.0,Bowling Green State U.,159,,213,,308,,194,,157,,162,,238,,96,
294.0,U. Northern Iowa,159,,70,,210,,192,,28,,70,,186,,127,
295.0,Fairfield U.,314,i,298,,241,,189,,196,i,183,,126,,60,
296.0,U. Colorado Denver and Anschutz Medical Campus,141,,201,,262,,188,,141,,188,,233,,177,
297.0,"CUNY, Lehman C.",122,,163,,241,,185,,104,,141,,229,,185,
297.0,"Southern Illinois U., Edwardsville",501,,170,,75,,185,,170,,46,,0,,53,
297.0,Trinity U.,60,,95,,148,,185,,39,,45,,74,,106,
300.0,"Arkansas State U., Jonesboro",2650,,1452,,572,,183,,2589,,1409,,509,,152,
301.0,Vassar C.,130,,157,,197,,182,i,130,,157,,197,,129,
302.0,Colorado C.,12,,0,,39,,181,,0,,0,,30,,128,
303.0,U. Wisconsin-La Crosse,115,,108,,147,,175,,33,,38,,80,,121,
